lat	DMS	MeSH	MeSH_DMS	Acetonitrile	Acetaldehyde	Acetone	Chlorophyll	CO	Isoprene
58.0524	9.5255	NA		1.4881	13.5608	16.9409	-0.010335535	19.37916721	3.1336
58.0579	10.3541	NA		1.3436	13.0496	20.0339	-0.010912894	19.83959389	3.7868
58.0634	9.5618	NA		1.0574	13.0467	15.2129	-0.025470393	19.90887316	3.4805
58.0690	10.679	NA		1.5149	15.1739	20.8077	0.01141601	21.88762789	4.214
58.0744	10.3128	NA		1.2819	13.5607	18.9928	0.072711863	23.89706744	2.8744
58.0798	10.8028	NA		1.4078	14.429	20.3504	0.061118937	25.40065753	3.6286
58.0850	9.9	NA		1.0673	12.3586	16.322	0.204098302	23.89143359	3.548
58.0905	11.4132	NA		1.2503	14.7913	20.6746	0.237996322	21.37340888	3.3763
58.0959	11.2475	NA		0.8771	13.123	18.6498	0.237871296	20.40100087	3.1112
58.1010	14.2437	NA		1.5702	15.3067	20.4432	0.301305476	21.44338416	3.8762
58.1064	14.9257	NA		0.9981	13.7107	18.8891	0.420151331	24.80582755	3.5662
58.1119	14.9187	NA		1.2709	12.0614	15.7608	0.466845031	23.32274266	3.2884
58.1172	18.1576	NA		1.1556	15.4792	22.9577	0.628845443	20.79879634	3.5239
58.1224	21.9397	NA		1.5189	17.8261	23.2867	0.550321664	19.05801085	4.7351
58.1276	19.0546	NA		1.0133	10.9631	16.5863	0.363730932	18.87481656	2.7123
58.1330	21.9521	NA		1.369	15.1096	20.9321	0.316478138	20.03674647	4.0303
58.1383	19.8621	NA		1.3542	13.9895	19.2357	0.338487578	19.39691686	3.45
58.1436	19.0174	NA		0.8323	13.0374	18.2147	0.32234488	17.79172138	3.2595
58.1489	18.8656	NA		1.3066	12.9252	19.4374	0.277975151	19.67693835	3.196
58.1543	15.2197	NA		0.9024	12.4118	14.1415	0.134417732	18.97828566	3.3115
58.1595	12.7331	NA		1.296	12.2867	14.6893	0.113876481	17.7108367	3.0844
58.1650	11.5942	NA		0.9166	14.3084	17.6758	0.177766087	18.07047551	3.2849
58.1704	9.3	NA		0.9268	12.067	12.3972	0.189841946	17.86617332	2.9776
58.1758	9.6249	NA		1.3088	13.1724	16.0076	0.176363302	19.09135242	3.0995
58.1811	9.2242	NA		1.2886	12.5549	17.6736	0.156579312	21.29505825	2.9879
58.1865	8.4185	NA		1.0223	11.0792	15.5199	0.154280831	24.20435484	3.4833
58.1918	8.2677	NA		1.1935	12.528	12.6042	0.147043375	26.3052962	3.0587
58.1971	8.9216	NA		1.1405	14.2611	19.7307	0.180361777	25.80287751	3.3441
58.2025	8.9883	NA		1.2474	13.1451	17.1753	0.15608009	23.69915969	2.8116
58.2078	8.4124	NA		1.1609	15.7636	16.7942	0.145315625	24.34746913	3.1637
58.2131	8.6393	NA		1.3373	14.3346	16.7589	0.12602408	28.68946954	3.052
58.2184	8.8596	NA		1.6613	14.1738	17.679	0.130183459	28.59058261	3.1575
58.2239	9.1687	NA		1.5157	15.9586	18.6893	0.129583976	26.51185407	3.1714
58.2293	9.2827	NA		1.6828	14.1085	20.0275	0.133774932	27.38127304	3.1615
58.2348	8.514	NA		1.7343	14.164	17.4341	0.119244365	28.28855288	3.3971
58.2403	9.2803	NA		1.5758	14.3001	18.5033	0.122089662	25.87286201	3.7979
58.2457	7.4532	NA		1.4023	12.9322	15.7259	0.139238448	22.91250164	3.3463
