lat	lon	DMS [nmol/L]	MeSH [nmol/L]	sum	DMS_MeSH	MeSH_DMS	DMS_frac	MeSH_frac
65.8765789	3.6794329	9.3926	1.3649	10.7575	6.882	0.145	87.3	12.7
65.8835472	3.6802925	9.4747	1.3977	10.8724	6.779	0.148	87.1	12.9
65.8904813	3.6812863	9.1619	1.4131	10.575	6.484	0.154	86.6	13.4
65.8973304	3.6815203	9.9959	1.479	11.4749	6.759	0.148	87.1	12.9
65.9042297	3.6824595	10.8478	1.3806	12.2284	7.857	0.127	88.7	11.3
65.9111302	3.6831871	10.4032	1.3654	11.7686	7.619	0.131	88.4	11.6
65.9180261	3.6841432	9.298	1.4774	10.7754	6.293	0.159	86.3	13.7
65.9249308	3.6844744	9.7823	1.374	11.1563	7.120	0.140	87.7	12.3
65.9318559	3.6850984	10.341	1.3387	11.6797	7.725	0.129	88.5	11.5
65.9387917	3.6855007	10.6958	1.2666	11.9624	8.444	0.118	89.4	10.6
65.9458039	3.6859102	11.4075	1.2829	12.6904	8.892	0.112	89.9	10.1
65.9527348	3.6872172	12.4802	1.2843	13.7645	9.718	0.103	90.7	9.3
65.9594309	3.6876849	13.0804	1.239	14.3194	10.557	0.095	91.3	8.7
65.9660736	3.6880517	13.7025	1.1939	14.8964	11.477	0.087	92.0	8.0
65.972647	3.6887857	13.7507	1.2222	14.9729	11.251	0.089	91.8	8.2
65.9792284	3.6892682	13.4176	1.2217	14.6393	10.983	0.091	91.7	8.3
65.9857138	3.6904465	12.7907	1.2401	14.0308	10.314	0.097	91.2	8.8
65.9922665	3.69123	11.9307	1.1784	13.1091	10.124	0.099	91.0	9.0
65.9987743	3.6918331	11.5	1.2211	12.7211	9.418	0.106	90.4	9.6
66.0052072	3.6920572	11.6186	1.2694	12.888	9.153	0.109	90.2	9.8
66.0115773	3.69311	11.5859	1.2517	12.8376	9.256	0.108	90.2	9.8
66.0179521	3.6937546	11.3624	1.3185	12.6809	8.618	0.116	89.6	10.4
66.0243038	3.6939384	10.6213	1.2625	11.8838	8.413	0.119	89.4	10.6
66.0306972	3.6947101	10.1836	1.2344	11.418	8.250	0.121	89.2	10.8
66.0371493	3.6951989	9.827	1.2468	11.0738	7.882	0.127	88.7	11.3
66.0434796	3.696175	9.4811	1.2066	10.6877	7.858	0.127	88.7	11.3
66.0497427	3.696221	9.3013	1.2419	10.5432	7.490	0.134	88.2	11.8
66.0560053	3.6974458	9.6698	1.2944	10.9642	7.470	0.134	88.2	11.8
66.0623017	3.6979575	10.1738	1.2404	11.4142	8.202	0.122	89.1	10.9
66.0685845	3.6981911	10.3762	1.2658	11.642	8.197	0.122	89.1	10.9
66.0747918	3.6989318	10.6916	1.2979	11.9895	8.238	0.121	89.2	10.8
66.0809603	3.6997669	11.085	1.3552	12.4402	8.180	0.122	89.1	10.9
66.0872678	3.7003835	11.9276	1.3305	13.2581	8.965	0.112	90.0	10.0
66.0935551	3.700923	11.7639	1.3579	13.1218	8.663	0.115	89.7	10.3
66.0998344	3.701171	10.8886	1.3341	12.2227	8.162	0.123	89.1	10.9
66.1061126	3.7022446	11.1214	1.315	12.4364	8.457	0.118	89.4	10.6
66.1123225	3.7027822	11.4871	1.3635	12.8506	8.425	0.119	89.4	10.6
66.1185029	3.7032431	11.1946	1.2914	12.486	8.669	0.115	89.7	10.3
66.1247809	3.7041879	11.0722	1.2203	12.2925	9.073	0.110	90.1	9.9
66.1310191	3.7042801	10.9861	1.2378	12.2239	8.876	0.113	89.9	10.1
66.1372901	3.7053538	10.6757	1.2545	11.9302	8.510	0.118	89.5	10.5
66.1435602	3.7058325	10.216	1.1547	11.3707	8.847	0.113	89.8	10.2
66.1498461	3.7063639	9.4835	1.1338	10.6173	8.364	0.120	89.3	10.7
66.1561012	3.7074635	9.0443	1.1837	10.228	7.641	0.131	88.4	11.6
66.162233	3.7079265	8.1503	1.1586	9.3089	7.035	0.142	87.6	12.4
66.1683218	3.708476	7.7177	1.1779	8.8956	6.552	0.153	86.8	13.2
66.1744759	3.7086558	7.1178	1.1142	8.232	6.388	0.157	86.5	13.5
66.1806817	3.7090206	6.6909	1.0675	7.7584	6.268	0.160	86.2	13.8
66.1869179	3.7103732	6.3196	1.0685	7.3881	5.914	0.169	85.5	14.5
66.1930592	3.7110694	6.1749	1.0543	7.2292	5.857	0.171	85.4	14.6
66.1992778	3.71113	6.3697	1.0999	7.4696	5.791	0.173	85.3	14.7
66.2055586	3.7116952	6.4884	1.1373	7.6257	5.705	0.175	85.1	14.9
66.2118775	3.7123009	6.5393	1.1302	7.6695	5.786	0.173	85.3	14.7
66.2181535	3.7130019	6.773	1.1485	7.9215	5.897	0.170	85.5	14.5
66.2244815	3.7139658	6.9893	1.153	8.1423	6.062	0.165	85.8	14.2
66.230746	3.7142716	7.1268	1.2384	8.3652	5.755	0.174	85.2	14.8
66.2370226	3.714755	7.6932	1.2097	8.9029	6.360	0.157	86.4	13.6
66.2434002	3.7159212	8.5683	1.3115	9.8798	6.533	0.153	86.7	13.3
66.2497456	3.7164349	8.9983	1.3431	10.3414	6.700	0.149	87.0	13.0
66.2561407	3.7173916	9.4907	1.3137	10.8044	7.224	0.138	87.8	12.2
66.2625409	3.7179727	9.9168	1.3855	11.3023	7.158	0.140	87.7	12.3
66.2689413	3.718018	10.6008	1.3944	11.9952	7.602	0.132	88.4	11.6
66.2754122	3.7185527	10.9838	1.3763	12.3601	7.981	0.125	88.9	11.1
66.2819832	3.7192964	11.3835	1.3798	12.7633	8.250	0.121	89.2	10.8
66.2884754	3.72056	12.1679	1.3558	13.5237	8.975	0.111	90.0	10.0
66.2950699	3.7212806	13.0289	1.3149	14.3438	9.909	0.101	90.8	9.2
66.3015737	3.7216693	14.3964	1.2929	15.6893	11.135	0.090	91.8	8.2
66.3080874	3.7219855	15.3434	1.3147	16.6581	11.671	0.086	92.1	7.9
66.3146897	3.7225113	15.7412	1.275	17.0162	12.346	0.081	92.5	7.5
66.3212174	3.7236812	15.0984	1.3477	16.4461	11.203	0.089	91.8	8.2
66.3278579	3.7242809	14.9513	2.3827	17.334	6.275	0.159	86.3	13.7
66.3344687	3.7248391	24.9362	1.3414	26.2776	18.590	0.054	94.9	5.1
66.3411566	3.7254052	15.1463	1.349	16.4953	11.228	0.089	91.8	8.2
66.3477964	3.7260571	15.1502	1.3804	16.5306	10.975	0.091	91.6	8.4
66.3545908	3.7266228	15.7352	1.4039	17.1391	11.208	0.089	91.8	8.2
66.3613607	3.727289	15.8612	1.4755	17.3367	10.750	0.093	91.5	8.5
66.3681562	3.7284712	18.9625	1.5062	20.4687	12.590	0.079	92.6	7.4
66.3750438	3.7292318	19.3472	1.4751	20.8223	13.116	0.076	92.9	7.1
66.3818789	3.7294371	18.6317	1.4605	20.0922	12.757	0.078	92.7	7.3
66.3887715	3.7298965	18.264	1.4992	19.7632	12.182	0.082	92.4	7.6
66.395611	3.7306256	18.3261	1.3481	19.6742	13.594	0.074	93.1	6.9
66.4024619	3.7315523	16.5491	1.5027	18.0518	11.013	0.091	91.7	8.3
66.4093261	3.7327054	18.47	1.3132	19.7832	14.065	0.071	93.4	6.6
